"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяет, что пользователь попадает на страницу логина после успешной регистрации","4956","Успешная регистрация с валидными данными","","Sat Apr 19 14:00:27 AMT 2025","passed","Sat Apr 19 14:00:32 AMT 2025","","Тесты на регистрацию","site.nomoreparties.stellarburgers.tests.RegisterTests","userCanRegisterSuccessfully"
"Проверяет, что из личного кабинета можно вернуться на главную по кнопке 'Конструктор'","7005","Переход из личного кабинета по кнопке 'Конструктор'","","Sat Apr 19 14:00:03 AMT 2025","passed","Sat Apr 19 14:00:10 AMT 2025","","Тесты личного кабинета","site.nomoreparties.stellarburgers.tests.PersonalCabinetTests","clickConstructorLinkFromPersonalCabinetOpensMainPage"
"Проверяет, что пользователь выходит из аккаунта по кнопке 'Выход' в личном кабинете и попадает на страницу логина","6902","Выход из аккаунта через личный кабинет","","Sat Apr 19 14:00:16 AMT 2025","passed","Sat Apr 19 14:00:23 AMT 2025","","Тесты личного кабинета","site.nomoreparties.stellarburgers.tests.PersonalCabinetTests","logoutFromProfilePageRedirectsToLogin"
"Проверяет, что при клике на таб 'Начинки' он становится активным","4319","Клик по кнопке 'Начинки' выбирает соответствующий таб","","Sat Apr 19 13:59:30 AMT 2025","passed","Sat Apr 19 13:59:34 AMT 2025","","Тесты главной страницы (Конструктор)","site.nomoreparties.stellarburgers.tests.ConstructorTests","clickFillingsButtonSelectsFillingsTab"
"Проверяет, что клик по логотипу из личного кабинета ведет на главную страницу","6117","Переход по логотипу из личного кабинета","","Sat Apr 19 13:59:57 AMT 2025","passed","Sat Apr 19 14:00:03 AMT 2025","","Тесты личного кабинета","site.nomoreparties.stellarburgers.tests.PersonalCabinetTests","clickLogoFromRegisterPageOpensMainPage"
"Проверяет, что пользователь может авторизоваться через кнопку 'Личный кабинет'","5572","Вход через кнопку 'Личный кабинет'","","Sat Apr 19 13:59:46 AMT 2025","passed","Sat Apr 19 13:59:51 AMT 2025","","Тесты на вход в аккаунт","site.nomoreparties.stellarburgers.tests.LoginTests","loginFromPersonalCabinetButton"
"Проверяет, что при вводе пароля менее 6 символов отображается сообщение 'Некорректный пароль'","4265","Ошибка при регистрации с коротким паролем","","Sat Apr 19 14:00:23 AMT 2025","passed","Sat Apr 19 14:00:27 AMT 2025","","Тесты на регистрацию","site.nomoreparties.stellarburgers.tests.RegisterTests","registrationWithShortPasswordShowsError"
"Проверяет, что при клике на таб 'Соусы' он становится активным","5609","Клик по кнопке 'Соусы' выбирает соответствующий таб","","Sat Apr 19 13:59:20 AMT 2025","passed","Sat Apr 19 13:59:25 AMT 2025","","Тесты главной страницы (Конструктор)","site.nomoreparties.stellarburgers.tests.ConstructorTests","clickSaucesButtonSelectsSaucesTab"
"Проверяет, что при клике на раздел 'Булки' открывается соответствующий контент","4245","Переход к разделу 'Булки'","","Sat Apr 19 13:59:25 AMT 2025","passed","Sat Apr 19 13:59:30 AMT 2025","","Тесты главной страницы (Конструктор)","site.nomoreparties.stellarburgers.tests.ConstructorTests","clickBunsButtonSelectsBunsTab"
"Проверяет, что пользователь может авторизоваться через кнопку в форме восстановления пароля","5569","Вход через кнопку в форме восстановления пароля","","Sat Apr 19 13:59:51 AMT 2025","passed","Sat Apr 19 13:59:57 AMT 2025","","Тесты на вход в аккаунт","site.nomoreparties.stellarburgers.tests.LoginTests","loginFromForgotPasswordPage"
"Проверяет, что пользователь может авторизоваться через кнопку 'Войти' в форме регистрации","5770","Вход через кнопку в форме регистрации","","Sat Apr 19 13:59:40 AMT 2025","passed","Sat Apr 19 13:59:46 AMT 2025","","Тесты на вход в аккаунт","site.nomoreparties.stellarburgers.tests.LoginTests","loginFromRegisterPage"
"Проверяет, что пользователь может авторизоваться через кнопку 'Войти в аккаунт' на главной странице","5903","Вход через кнопку 'Войти в аккаунт' на главной","","Sat Apr 19 13:59:34 AMT 2025","passed","Sat Apr 19 13:59:40 AMT 2025","","Тесты на вход в аккаунт","site.nomoreparties.stellarburgers.tests.LoginTests","loginFromMainPageLoginButton"
"Проверяет, что авторизованный пользователь попадает в личный кабинет при клике на кнопку 'Личный кабинет'","5791","Переход по кнопке 'Личный кабинет' на главной странице","","Sat Apr 19 14:00:10 AMT 2025","passed","Sat Apr 19 14:00:16 AMT 2025","","Тесты личного кабинета","site.nomoreparties.stellarburgers.tests.PersonalCabinetTests","clickPersonalCabinetButtonOpensProfilePage"
